user_id,job_id,match_score,recommended,name,sex,age,major,GPA,location_x,university,skills,GPA_normalized,company_id,title,role,location_y,work_type,salary_min,salary_max,posting_date,skills_required,company_name,industry,company_size,country,state
U00618,J00052,0.3333333333333333,0,Christopher Fox,Male,26,Economics,3.38,New Valerie,Group,"Design,Java,Data Analysis,Marketing",0.6614194176629254,C0077,Graphic designer,Adult guidance worker,North Maria,Part-time,61963,114141,2025-04-21,"Communication,Cloud Computing,Marketing,Java",Lyons-Anthony,Community education officer,Large,Bolivia,Oregon
U00977,J00365,0.1666666666666666,0,Kimberly Johnson,Male,25,Engineering,3.92,Amyport,Group,"Communication,Marketing,Design,AI,Data Analysis",1.598765852520105,C0009,Fitness centre manager,Primary school teacher,Lake Sandraburgh,Part-time,48814,84693,2025-05-11,"Management,AI","Simmons, Mendez and Roberts",Health visitor,Large,Timor-Leste,Oregon
U00898,J00186,0.0,0,Jessica Hicks,Male,24,Psychology,3.27,Andrewstad,Group,"Communication,Design",0.4704784772290557,C0004,Occupational hygienist,Cabin crew,Grossburgh,Full-time,56878,146573,2025-07-13,"Management,AI,Java,Machine Learning,Data Analysis",Frazier-Roberts,Colour technologist,Medium,Guyana,Arizona
U00597,J00287,0.0,0,Thomas Davidson,Female,21,Computer Science,2.1,Elizabethborough,Group,"Java,Cloud Computing,AI,C++",-1.5604387982948331,C0086,Therapeutic radiographer,Acupuncturist,Grayberg,Internship,51779,147279,2025-07-10,"Marketing,Management","Garcia, Solis and Colon",Network engineer,Small,Netherlands,Arizona
U00875,J00084,0.1666666666666666,0,Cory Powers,Male,28,Engineering,2.1,Smithtown,Group,"Python,Marketing,Communication,Data Analysis,Machine Learning",-1.5604387982948331,C0061,Location manager,"Programme researcher, broadcasting/film/video",Alejandraton,Full-time,38926,72338,2025-05-13,"Python,AI",Mann-Miller,Research scientist (maths),Large,Gabon,California
U00187,J00302,0.1428571428571428,0,April Moore,Female,21,Economics,3.68,West Nancyfort,Group,"Communication,Management,Data Analysis,Cloud Computing,Marketing",1.1821674370280255,C0074,"Therapist, speech and language",Clinical embryologist,Richardport,Part-time,49829,108488,2025-02-05,"SQL,Marketing,C++",Long PLC,"Nurse, mental health",Large,Sierra Leone,Alabama
U00874,J00282,0.125,0,Timothy Winters,Female,22,Marketing,3.47,New Charles,Group,"Data Analysis,Design,Management,Marketing,Communication",0.8176438234724559,C0060,Museum/gallery exhibitions officer,Health physicist,Gregorybury,Part-time,42272,148067,2025-05-30,"Management,C++,AI,Cloud Computing",Cole-Huber,"Programmer, multimedia",Large,Italy,Alaska
U00002,J00449,0.1428571428571428,0,Joseph Hall,Female,25,Business,2.7,West Matthew,Group,"Management,C++,Data Analysis,Marketing",-0.5189427595646334,C0008,Writer,Engineering geologist,New Davidview,Part-time,51642,80446,2025-01-18,"AI,Java,Marketing,Design","Reed, Dunlap and Graham",Government social research officer,Medium,Turkey,Alabama
U00591,J00028,0.2,0,Susan Schmidt,Male,24,Marketing,2.55,New Jenniferhaven,Group,"Design,C++,Data Analysis",-0.779316769247184,C0019,"Engineer, structural",Art therapist,Andersonville,Full-time,69321,105641,2025-05-25,"C++,SQL,Java",Rodriguez and Sons,Personal assistant,Large,Tanzania,Florida
U00304,J00259,0.2857142857142857,0,Angela Wilson,Female,24,Business,3.48,Hayesburgh,Group,"Management,Python,Machine Learning,SQL,Design",0.8350020907846255,C0034,Social worker,Training and development officer,Raymondland,Full-time,42564,122531,2025-07-29,"Machine Learning,C++,SQL,Data Analysis",Sharp Inc,Garment/textile technologist,Large,Cameroon,Arkansas
