user_id,job_id,match_score,recommended,name,sex,age,major,GPA,location_x,university,skills,GPA_normalized,company_id,title,role,location_y,work_type,salary_min,salary_max,posting_date,skills_required,company_name,industry,company_size,country,state
U00026,J00060,0.0,0,Manuel Ruiz,Male,22,Marketing,3.41,South David,Ltd,"Communication,Python",0.7134942195994358,C0085,Stage manager,"Therapist, occupational",Tonyfort,Internship,53779,119328,2025-05-05,"AI,Data Analysis,Machine Learning,Design,Java",Hall-Fleming,Occupational psychologist,Small,Malaysia,Maryland
U00908,J00338,0.125,0,Laurie Mcdonald,Female,20,Economics,2.7,Jameston,Ltd,"Machine Learning,Python,Design,Communication,SQL",-0.5189427595646334,C0066,Medical laboratory scientific officer,"Engineer, drilling",Hernandezborough,Part-time,52537,98079,2025-04-17,"Cloud Computing,Design,Management,C++",Graves-Murphy,English as a foreign language teacher,Small,Solomon Islands,Idaho
U00087,J00213,0.6666666666666666,1,Deborah Smith,Male,20,Physics,3.23,South Jameston,Ltd,"Python,Communication,SQL",0.4010454079803757,C0054,Freight forwarder,Armed forces technical officer,North Joshua,Internship,59414,73264,2025-02-20,"SQL,Python",Cline-Nguyen,Production engineer,Large,Niue,Alaska
U00857,J00380,0.2857142857142857,0,Kevin Cameron,Female,29,Computer Science,3.45,Andersonstad,Ltd,"Communication,C++,Python,Marketing",0.7829272888481158,C0047,"Production assistant, radio","Psychologist, occupational",New Amy,Internship,49465,102372,2025-04-24,"Data Analysis,Python,Design,C++,Cloud Computing",Gutierrez-Elliott,Photographer,Large,Fiji,Nebraska
U00721,J00027,0.5,0,Ralph Jones,Female,28,Psychology,3.98,West Louis,Ltd,"AI,Design",1.702915456393125,C0049,Soil scientist,Games developer,North Isabellaborough,Part-time,52866,94174,2025-04-25,"AI,Data Analysis,Design,C++",Bradley-Nguyen,Equality and diversity officer,Medium,Somalia,South Dakota
U00721,J00192,0.0,0,Ralph Jones,Female,28,Psychology,3.98,West Louis,Ltd,"AI,Design",1.702915456393125,C0035,Local government officer,Newspaper journalist,Cindymouth,Internship,35011,71893,2025-01-24,"SQL,Data Analysis,Java,Python",Foster and Sons,Forensic scientist,Large,Panama,Virginia
U00722,J00373,0.2857142857142857,0,Cheryl Mccall,Male,27,Biology,3.92,Lopezshire,Ltd,"Data Analysis,Python,Design,Communication",1.598765852520105,C0033,"Copywriter, advertising",Chief of Staff,South Hayley,Full-time,69679,102004,2025-07-02,"Python,Marketing,SQL,Machine Learning,Design","Baker, Clark and Rogers",Manufacturing engineer,Small,Tuvalu,Arizona
U00995,J00432,0.6,1,Selena Bowman,Male,21,Economics,3.79,West Luisstad,Ltd,"Data Analysis,AI,C++,Design,SQL",1.3731083774618953,C0017,"Biochemist, clinical",Illustrator,Brandimouth,Internship,49391,138493,2025-06-16,"C++,Data Analysis,SQL",Silva LLC,"Scientist, water quality",Medium,Saudi Arabia,Oregon
U00115,J00131,0.1428571428571428,0,Robert Smith,Female,20,Engineering,2.66,Port Stacyview,Ltd,"Java,Design,Data Analysis",-0.5883758288133135,C0067,Counselling psychologist,Furniture conservator/restorer,Parkermouth,Full-time,67399,118457,2025-02-15,"Data Analysis,Marketing,AI,Machine Learning,Communication","Owens, Bradshaw and Price",Sports therapist,Small,Timor-Leste,Oklahoma
U00936,J00445,0.0,0,James Campbell,Male,26,Business,3.96,Gomeztown,Ltd,"Communication,Machine Learning",1.668198921768785,C0046,Radiation protection practitioner,Photographer,Mccoyside,Internship,64850,143491,2025-02-26,"Java,AI,Data Analysis",Dickson PLC,Public house manager,Small,Philippines,Michigan
U00940,J00167,0.125,0,Susan Berry,Female,23,Business,2.36,Port Melaniemouth,Ltd,"Marketing,Machine Learning,SQL,C++",-1.1091238481784136,C0096,Higher education lecturer,Charity fundraiser,South Dana,Part-time,62920,121935,2025-05-27,"SQL,Java,Cloud Computing,Communication,Python","Wright, Nguyen and Hill",Banker,Large,Christmas Island,Maryland
U00488,J00336,0.5,0,Briana Rogers,Male,21,Business,3.71,South Gregory,Ltd,"Marketing,Cloud Computing,AI,Machine Learning,Python",1.2342422389645353,C0048,"Surveyor, insurance",Public house manager,Port Jenniferfurt,Part-time,50175,87444,2025-04-15,"Cloud Computing,Python,Marketing,Communication","Burns, Phillips and Moore",Police officer,Large,Tajikistan,Iowa
