user_id,job_id,match_score,recommended,name,sex,age,major,GPA,location_x,university,skills,GPA_normalized,company_id,title,role,location_y,work_type,salary_min,salary_max,posting_date,skills_required,company_name,industry,company_size,country,state
U00231,J00058,0.0,0,Austin Osborne,Female,30,Business,2.01,Powellfort,Inc,"Java,Design,Cloud Computing",-1.7166632041043635,C0036,Chief Financial Officer,Immunologist,Port Christopherside,Internship,47077,71691,2025-01-25,"Communication,Machine Learning,Python,AI,Data Analysis","Ritter, Pham and Allison","Accountant, chartered",Small,Costa Rica,Indiana
U00446,J00112,0.3333333333333333,0,Abigail Zimmerman,Female,26,Marketing,3.01,Dyermouth,Inc,"Data Analysis,C++",0.019163527112635564,C0050,Air traffic controller,Oceanographer,West Ashley,Internship,59500,112503,2025-05-14,"Cloud Computing,C++","Farrell, Mitchell and Clark",Sports administrator,Medium,Bosnia and Herzegovina,Massachusetts
U00113,J00494,0.0,0,Lisa Watkins,Female,24,Business,3.22,Port Clintontown,Inc,"Management,Machine Learning,SQL",0.3836871406682061,C0017,Hydrogeologist,Teaching laboratory technician,Dylanside,Part-time,36319,123037,2025-07-22,"Data Analysis,Communication,Java,Python",Silva LLC,"Scientist, water quality",Medium,Saudi Arabia,Oregon
U00154,J00314,0.0,0,Christian Scott,Male,23,Business,2.27,Port Courtney,Inc,"Python,Java",-1.2653482539879433,C0023,Risk analyst,"Education officer, community",Lake Katherineland,Internship,61265,100782,2025-07-29,"AI,Marketing",Palmer-Holden,Garment/textile technologist,Medium,Saint Helena,Ohio
U00627,J00097,0.25,0,Matthew Vargas,Female,20,Economics,3.57,New Nicoleland,Inc,"Design,Python,Java,Management,AI",0.9912264965941552,C0097,Publishing rights manager,Location manager,Bushfort,Full-time,66533,122432,2025-07-26,"C++,Design,Management,SQL,Communication","Callahan, Peterson and Montgomery",Health and safety adviser,Large,Guatemala,Utah
U00141,J00390,0.4,0,Adam Jenkins,Male,30,Engineering,2.55,North Elizabeth,Inc,"AI,Design,Python,Machine Learning",-0.779316769247184,C0045,Ambulance person,Education administrator,New Jasminestad,Full-time,48621,107454,2025-08-10,"Design,Marketing,AI",Carney Ltd,Wellsite geologist,Medium,Belize,New Hampshire
U00141,J00498,0.0,0,Adam Jenkins,Male,30,Engineering,2.55,North Elizabeth,Inc,"AI,Design,Python,Machine Learning",-0.779316769247184,C0088,"Surveyor, building control","Administrator, charities/voluntary organisations",East Craig,Part-time,63288,103936,2025-01-15,"Management,Java",Chase Group,Catering manager,Large,Central African Republic,Minnesota
U00480,J00159,0.1111111111111111,0,Joel Johnson,Female,21,Biology,2.3,West Lauraland,Inc,"Data Analysis,Cloud Computing,Machine Learning,Communication,AI",-1.2132734520514337,C0012,Ranger/warden,"Librarian, academic",West Donna,Internship,58478,117696,2025-02-28,"C++,Communication,Management,Marketing,Python","Jackson, Robinson and Jacobs","Designer, multimedia",Small,Chile,Maryland
U00863,J00393,0.5,0,Mercedes Torres,Female,29,Psychology,2.97,Dukeburgh,Inc,"Data Analysis,Design,SQL,Machine Learning",-0.05026954213604369,C0008,Occupational psychologist,"Editor, commissioning",South Michaelhaven,Part-time,51831,109573,2025-01-09,"C++,Python,Data Analysis,Machine Learning,SQL","Reed, Dunlap and Graham",Government social research officer,Medium,Turkey,Alabama
U00476,J00416,0.1666666666666666,0,Elizabeth Mason,Male,23,Engineering,3.38,Bauerville,Inc,"Machine Learning,Python,C++,Management,Data Analysis",0.6614194176629254,C0054,Horticultural therapist,"Psychotherapist, child",Warrenborough,Internship,41622,143628,2025-05-16,"Python,Communication",Cline-Nguyen,Production engineer,Large,Niue,Alaska
U00676,J00182,0.3333333333333333,0,Mark Hall,Female,30,Business,3.08,Nicoleshire,Inc,"Design,Machine Learning,SQL,C++,Java",0.140671398297826,C0014,Museum/gallery curator,Electrical engineer,Pennytown,Full-time,54866,135325,2025-04-12,"Management,Machine Learning,SQL",Tyler Ltd,Information systems manager,Medium,Lithuania,Wyoming
U00585,J00408,0.2857142857142857,0,Alexis Perry,Female,22,Marketing,3.0,South Devinbury,Inc,"Cloud Computing,Python,Management,Machine Learning",0.0018052598004659427,C0013,Accommodation manager,"Engineer, control and instrumentation",Davidburgh,Part-time,44438,125441,2025-06-01,"Java,C++,AI,Machine Learning,Python",Joseph-Copeland,Trading standards officer,Large,Bosnia and Herzegovina,Pennsylvania
U00475,J00019,0.0,0,Sarah Riggs,Female,21,Marketing,2.25,Jacobside,Inc,"C++,Cloud Computing",-1.3000647886122834,C0074,Magazine journalist,"Engineer, manufacturing systems",Angelicaside,Full-time,51404,94031,2025-03-20,"Design,SQL,Machine Learning",Long PLC,"Nurse, mental health",Large,Sierra Leone,Alabama
U00843,J00129,0.5,0,Anthony Berg,Male,21,Computer Science,3.55,New Laurastad,Inc,"Python,Machine Learning",0.9565099619698151,C0100,Theatre director,"Scientist, research (medical)",Port Kyle,Full-time,56600,105115,2025-07-11,"Machine Learning,Java,Design,Python",Phillips-Guerra,"Buyer, retail",Small,Martinique,West Virginia
U00075,J00442,0.0,0,Troy Stevens,Female,23,Economics,2.29,Armstrongbury,Inc,"Machine Learning,Cloud Computing",-1.2306317193636034,C0049,"Engineer, communications",Best boy,South Meganchester,Full-time,44665,109986,2025-08-02,"Communication,Management,SQL",Bradley-Nguyen,Equality and diversity officer,Medium,Somalia,South Dakota
U00867,J00494,0.1666666666666666,0,Joshua Williams,Male,22,Marketing,2.48,North Rickmouth,Inc,"Marketing,AI,Python",-0.9008246404323736,C0017,Hydrogeologist,Teaching laboratory technician,Dylanside,Part-time,36319,123037,2025-07-22,"Data Analysis,Communication,Java,Python",Silva LLC,"Scientist, water quality",Medium,Saudi Arabia,Oregon
U00113,J00277,0.2,0,Lisa Watkins,Female,24,Business,3.22,Port Clintontown,Inc,"Management,Machine Learning,SQL",0.3836871406682061,C0051,"Teacher, early years/pre",Mental health nurse,Wattsport,Full-time,50092,123910,2025-06-26,"SQL,C++,Design",Cain LLC,Social worker,Medium,Dominican Republic,Nevada
U00067,J00095,0.2,0,Jamie Murphy,Female,26,Psychology,2.75,Port Natalie,Inc,"Communication,Marketing,Management",-0.43215142300378384,C0008,Mining engineer,Financial controller,Burkeport,Internship,59062,138656,2025-01-17,"Management,SQL,Design","Reed, Dunlap and Graham",Government social research officer,Medium,Turkey,Alabama
U00075,J00088,0.0,0,Troy Stevens,Female,23,Economics,2.29,Armstrongbury,Inc,"Machine Learning,Cloud Computing",-1.2306317193636034,C0052,Social worker,"Clinical scientist, histocompatibility and immunogenetics",Thomasstad,Part-time,65143,101130,2025-02-11,"Python,C++,Design,SQL,Management","Black, Navarro and Garcia","Surveyor, planning and development",Large,Eritrea,Virginia
U00639,J00003,0.0,0,Dr. Destiny Nichols,Female,29,Computer Science,2.88,Westbury,Inc,"AI,Management,Marketing",-0.20649394794557413,C0006,Financial trader,Senior tax professional/tax inspector,South Ronaldmouth,Full-time,46290,80232,2025-02-16,"Python,Design",Wilson-Hanson,"Geologist, engineering",Medium,Tuvalu,New Hampshire
U00178,J00266,0.4285714285714285,0,Seth Gonzalez,Female,29,Economics,2.29,Port Williammouth,Inc,"Cloud Computing,Communication,Java,AI,Design",-1.2306317193636034,C0052,Theatre manager,Regulatory affairs officer,West John,Full-time,43689,74299,2025-03-22,"Java,Marketing,Design,Management,Communication","Black, Navarro and Garcia","Surveyor, planning and development",Large,Eritrea,Virginia
U00480,J00259,0.2857142857142857,0,Joel Johnson,Female,21,Biology,2.3,West Lauraland,Inc,"Data Analysis,Cloud Computing,Machine Learning,Communication,AI",-1.2132734520514337,C0034,Social worker,Training and development officer,Raymondland,Full-time,42564,122531,2025-07-29,"Machine Learning,C++,SQL,Data Analysis",Sharp Inc,Garment/textile technologist,Large,Cameroon,Arkansas
U00445,J00207,0.2857142857142857,0,Michael Simmons,Female,29,Physics,2.41,Claytonburgh,Inc,"C++,Management,Marketing,Machine Learning,Communication",-1.0223325116175632,C0065,Mental health nurse,Magazine features editor,Johnstonstad,Internship,43124,103181,2025-04-08,"Java,C++,Marketing,Python",Bradley-Miller,Research scientist (maths),Small,New Zealand,North Carolina
U00262,J00270,0.3333333333333333,0,Pamela Marsh,Female,30,Business,3.69,Gomezbury,Inc,"SQL,C++,Java",1.1995257043401952,C0009,Agricultural engineer,General practice doctor,Port Gregory,Part-time,68656,123920,2025-06-17,"Communication,Design,SQL,C++,AI","Simmons, Mendez and Roberts",Health visitor,Large,Timor-Leste,Oregon
U00668,J00352,0.0,0,Brooke Craig,Female,29,Computer Science,3.53,Fisherville,Inc,"SQL,Python,Communication",0.9217934273454751,C0039,"Lecturer, further education",Optometrist,East Michelleport,Full-time,51484,120761,2025-01-04,"Java,C++,Management,Marketing","Alvarez, Howard and Vasquez",Archaeologist,Large,New Caledonia,Nebraska
U00851,J00076,0.1666666666666666,0,Andrea Foster,Female,25,Engineering,3.09,South Benjamin,Inc,"Data Analysis,Cloud Computing,Design,Marketing,Communication",0.15802966560999562,C0027,Gaffer,Air traffic controller,Kevinbury,Internship,52795,125792,2025-07-13,"AI,Data Analysis",Watkins-Petersen,Professor Emeritus,Large,Guam,Washington
U00998,J00387,0.1428571428571428,0,Ronald Kirby,Male,28,Biology,2.94,North Amandahaven,Inc,"SQL,Machine Learning,Python",-0.10234434407255409,C0083,Air cabin crew,Medical technical officer,Garyshire,Part-time,50834,128680,2025-01-14,"SQL,Cloud Computing,C++,Management,Design","Phillips, Clayton and Ferguson",Public relations officer,Medium,Sao Tome and Principe,Nebraska
U00433,J00445,0.4,0,Joseph Johnson,Female,25,Physics,3.86,North Robertland,Inc,"AI,C++,Management,Data Analysis",1.4946162486470849,C0046,Radiation protection practitioner,Photographer,Mccoyside,Internship,64850,143491,2025-02-26,"Java,AI,Data Analysis",Dickson PLC,Public house manager,Small,Philippines,Michigan
U00998,J00102,0.2,0,Ronald Kirby,Male,28,Biology,2.94,North Amandahaven,Inc,"SQL,Machine Learning,Python",-0.10234434407255409,C0009,Risk manager,Broadcast engineer,Johnsonhaven,Full-time,41233,129980,2025-07-05,"Machine Learning,Marketing,Management","Simmons, Mendez and Roberts",Health visitor,Large,Timor-Leste,Oregon
U00895,J00209,0.4285714285714285,0,Angela Turner,Female,30,Physics,2.33,Dianamouth,Inc,"Cloud Computing,Machine Learning,Design,Java,Management",-1.1611986501149234,C0081,Armed forces logistics/support/administrative officer,Tourism officer,Williamsburgh,Internship,39052,130139,2025-01-17,"Data Analysis,Machine Learning,Java,Cloud Computing,Marketing",Lawrence-Velasquez,"Education officer, museum",Medium,Montenegro,Nevada
U00468,J00010,0.0,0,Madison Beck,Male,24,Marketing,2.22,Leslieton,Inc,"Management,SQL,Data Analysis,AI,Machine Learning",-1.352139590548793,C0005,Psychotherapist,"Social research officer, government",Wayneburgh,Internship,69933,98127,2025-06-05,"Cloud Computing,Design,Python","Payne, Davis and Barnett","Loss adjuster, chartered",Small,American Samoa,Hawaii
U00041,J00485,0.6,1,Samuel Garcia,Female,20,Engineering,2.96,Smithfort,Inc,"Data Analysis,Machine Learning,SQL",-0.06762780944821409,C0009,Race relations officer,Claims inspector/assessor,Deborahburgh,Full-time,45635,73453,2025-01-31,"Machine Learning,SQL,C++,Data Analysis,Cloud Computing","Simmons, Mendez and Roberts",Health visitor,Large,Timor-Leste,Oregon
U00929,J00436,0.1666666666666666,0,Eric Lopez,Female,23,Marketing,3.05,Hendersonland,Inc,"Management,SQL,Communication,Cloud Computing",0.08859659636131559,C0078,"Engineer, energy","Nurse, mental health",Christyville,Full-time,53114,101211,2025-02-17,"Cloud Computing,Marketing,Design","Davis, Harvey and Johnson",Retail manager,Large,Moldova,Iowa
U00042,J00316,0.25,0,Dr. Joseph Estrada,Male,21,Economics,2.41,Roberttown,Inc,"Management,AI,Machine Learning,Data Analysis,C++",-1.0223325116175632,C0057,Chartered legal executive (England and Wales),Armed forces logistics/support/administrative officer,New Kathryn,Internship,46787,135244,2025-06-29,"Java,Data Analysis,SQL,Cloud Computing,AI",Dalton-Mack,Operations geologist,Medium,Tokelau,New Jersey
U00959,J00332,0.25,0,Amanda James,Female,21,Biology,3.62,Williamburgh,Inc,"SQL,Machine Learning,Cloud Computing,AI,Design",1.0780178331550057,C0089,Communications engineer,"Teacher, adult education",North Timothy,Internship,45954,71126,2025-04-04,"Python,AI,SQL,C++,Management",Reyes and Sons,Environmental manager,Medium,Montenegro,North Carolina
U00135,J00421,0.1666666666666666,0,Latoya Mcfarland,Male,21,Economics,3.84,South Mariostad,Inc,"C++,Management,Java,Machine Learning",1.459899714022745,C0058,Chartered management accountant,"Surveyor, hydrographic",Stephenland,Internship,59988,70380,2025-02-02,"Machine Learning,Data Analysis,Marketing",Knight LLC,Mining engineer,Small,Belize,Rhode Island
U00627,J00083,0.1428571428571428,0,Matthew Vargas,Female,20,Economics,3.57,New Nicoleland,Inc,"Design,Python,Java,Management,AI",0.9912264965941552,C0038,Writer,Arts development officer,Mitchellborough,Part-time,61184,115554,2025-01-07,"Cloud Computing,Data Analysis,Python","Lewis, Johnson and Miller",Quality manager,Large,Western Sahara,New Hampshire
U00681,J00018,0.0,0,Adam Richardson,Female,24,Business,2.78,Flemingview,Inc,"Java,Design,Management,Cloud Computing",-0.3800766210672742,C0095,Further education lecturer,Radio broadcast assistant,New Robertburgh,Part-time,48068,116245,2025-03-04,"Marketing,Communication",Reed-Wagner,Bookseller,Large,Uzbekistan,Oregon
U00925,J00188,0.1666666666666666,0,Nancy Spears,Female,29,Physics,3.78,Jessestad,Inc,"Java,Data Analysis,AI,Communication",1.355750110149725,C0005,Ranger/warden,Therapeutic radiographer,Port Elizabeth,Full-time,35752,125453,2025-03-10,"Management,Machine Learning,Communication","Payne, Davis and Barnett","Loss adjuster, chartered",Small,American Samoa,Hawaii
U00324,J00379,0.2,0,Randy Clark,Male,20,Physics,2.45,North Andrew,Inc,"Communication,SQL,Python,Data Analysis",-0.9528994423688832,C0006,"Civil engineer, consulting",Publishing copy,Lake Derekside,Internship,35674,101107,2025-05-19,"AI,SQL",Wilson-Hanson,"Geologist, engineering",Medium,Tuvalu,New Hampshire
