user_id,job_id,match_score,recommended,name,sex,age,major,GPA,location_x,university,skills,GPA_normalized,company_id,title,role,location_y,work_type,salary_min,salary_max,posting_date,skills_required,company_name,industry,company_size,country,state
U00273,J00196,0.125,0,Todd Wolf,Female,27,Psychology,2.91,North Ashleyton,LLC,"Cloud Computing,Marketing,Design,Python",-0.15441914600906373,C0039,Automotive engineer,Contracting civil engineer,New Justin,Internship,57307,79465,2025-02-07,"Communication,AI,Management,Java,Marketing","Alvarez, Howard and Vasquez",Archaeologist,Large,New Caledonia,Nebraska
U00949,J00300,0.125,0,Philip Crosby,Male,30,Physics,2.54,Port Johnchester,LLC,"Management,Communication,Data Analysis,Marketing",-0.7966750365593536,C0082,Nature conservation officer,Advertising account executive,West Robert,Internship,53273,124543,2025-01-16,"Design,AI,Java,C++,Management",Williams Group,Pensions consultant,Large,Falkland Islands (Malvinas),Arizona
U00708,J00023,0.2857142857142857,0,Henry Young,Male,24,Economics,3.75,East Jaimeberg,LLC,"Data Analysis,Machine Learning,Java,Design",1.3036753082132153,C0070,Haematologist,"Lighting technician, broadcasting/film/video",Lake Justin,Full-time,43346,144974,2025-02-03,"Communication,Marketing,Design,Cloud Computing,Machine Learning",Kim LLC,"Geologist, engineering",Small,United States of America,Colorado
U00215,J00205,0.1111111111111111,0,Paula Juarez,Female,25,Physics,2.36,East Tylerland,LLC,"SQL,Design,Python,Cloud Computing,AI",-1.1091238481784136,C0072,Emergency planning/management officer,"Education officer, museum",Hancocktown,Part-time,66713,148036,2025-07-08,"AI,Java,Communication,Data Analysis,Machine Learning","Phillips, Padilla and Evans",Psychotherapist,Small,Aruba,Montana
U00695,J00106,0.1666666666666666,0,Carl Glenn,Male,21,Economics,2.63,West Jennifermouth,LLC,"Marketing,Cloud Computing,SQL",-0.6404506307498239,C0032,Risk manager,Agricultural engineer,Jamesstad,Internship,52883,134712,2025-07-12,"Machine Learning,C++,Communication,Cloud Computing",Molina and Sons,Animal nutritionist,Large,Belgium,Alabama
U00114,J00086,0.6,1,Paige Rogers,Female,24,Economics,2.69,South Bruce,LLC,"AI,Machine Learning,C++,SQL",-0.5363010268768038,C0019,Control and instrumentation engineer,Photographer,Port Sierrashire,Full-time,30528,92894,2025-04-30,"Machine Learning,C++,Cloud Computing,SQL",Rodriguez and Sons,Personal assistant,Large,Tanzania,Florida
U00958,J00494,0.1428571428571428,0,Lauren Harmon,Female,28,Engineering,3.46,Jamesmouth,LLC,"AI,SQL,C++,Data Analysis",0.8002855561602854,C0017,Hydrogeologist,Teaching laboratory technician,Dylanside,Part-time,36319,123037,2025-07-22,"Data Analysis,Communication,Java,Python",Silva LLC,"Scientist, water quality",Medium,Saudi Arabia,Oregon
U00189,J00371,0.0,0,Karen Bailey,Male,24,Marketing,2.64,Russellborough,LLC,"Management,Python",-0.6230923634376535,C0046,Ecologist,Higher education lecturer,Youngview,Full-time,62589,138975,2025-01-27,"SQL,C++,Design",Dickson PLC,Public house manager,Small,Philippines,Michigan
U00275,J00118,0.2,0,Jaime Blackwell,Male,24,Psychology,3.01,East Samantha,LLC,"AI,Machine Learning,Data Analysis,Cloud Computing",0.019163527112635564,C0029,Television/film/video producer,Animal nutritionist,Samuelhaven,Part-time,64865,120861,2025-07-28,"C++,Data Analysis",Rosales Group,Charity officer,Medium,Cook Islands,South Dakota
U00958,J00295,0.2,0,Lauren Harmon,Female,28,Engineering,3.46,Jamesmouth,LLC,"AI,SQL,C++,Data Analysis",0.8002855561602854,C0018,Energy engineer,Product/process development scientist,Johnsonview,Full-time,46825,135858,2025-05-29,"AI,Python",Frey LLC,Horticultural therapist,Large,Bosnia and Herzegovina,Washington
U00708,J00238,0.0,0,Henry Young,Male,24,Economics,3.75,East Jaimeberg,LLC,"Data Analysis,Machine Learning,Java,Design",1.3036753082132153,C0031,Financial controller,"Nurse, learning disability",Lake Taylor,Full-time,57698,72233,2025-04-11,"SQL,Management,Communication",Smith Inc,Learning mentor,Medium,Uzbekistan,Mississippi
U00884,J00401,0.1111111111111111,0,Eric Spears DDS,Male,24,Physics,2.56,New Jackview,LLC,"AI,Communication,Management,Cloud Computing,Data Analysis",-0.7619585019350136,C0038,Transport planner,Speech and language therapist,West Tim,Part-time,60033,141071,2025-04-25,"Marketing,Machine Learning,Design,AI,Java","Lewis, Johnson and Miller",Quality manager,Large,Western Sahara,New Hampshire
U00241,J00120,0.0,0,Amber Paul,Female,26,Marketing,2.94,South William,LLC,"Cloud Computing,Java",-0.10234434407255409,C0054,Archivist,"Merchandiser, retail",Port Sean,Part-time,56575,116307,2025-01-17,"Python,C++",Cline-Nguyen,Production engineer,Large,Niue,Alaska
U00710,J00182,0.5,0,Patricia Williams,Female,23,Biology,3.87,Sharonport,LLC,"Management,SQL,C++",1.5119745159592552,C0014,Museum/gallery curator,Electrical engineer,Pennytown,Full-time,54866,135325,2025-04-12,"Management,Machine Learning,SQL",Tyler Ltd,Information systems manager,Medium,Lithuania,Wyoming
U00756,J00276,0.3333333333333333,0,Tonya Larson,Female,22,Marketing,3.34,Hayesbury,LLC,"Machine Learning,Management,SQL,Cloud Computing",0.5919863484142454,C0085,Insurance claims handler,Restaurant manager,Staceyborough,Internship,51012,89938,2025-04-17,"Marketing,SQL,Management,AI",Hall-Fleming,Occupational psychologist,Small,Malaysia,Maryland
U00909,J00403,0.1666666666666666,0,Joseph Frazier,Female,22,Biology,3.03,Port Timothy,LLC,"Communication,Java,Data Analysis,SQL,AI",0.05388006173697558,C0052,Magazine features editor,"Radiographer, therapeutic",Nelsonstad,Part-time,41326,147624,2025-01-28,"Design,Java","Black, Navarro and Garcia","Surveyor, planning and development",Large,Eritrea,Virginia
U00512,J00296,0.2857142857142857,0,Chelsea Krueger,Male,30,Business,2.12,New Sarahbury,LLC,"Cloud Computing,Communication,Data Analysis,Design",-1.525722263670493,C0020,Catering manager,Private music teacher,Barreramouth,Internship,47268,104801,2025-05-19,"Data Analysis,Marketing,Cloud Computing,Machine Learning,C++","Anderson, Mcguire and Clark","Research officer, trade union",Medium,Netherlands,Ohio
U00031,J00099,0.1666666666666666,0,Matthew Douglas,Male,22,Physics,2.41,Katrinaland,LLC,"Machine Learning,AI,SQL",-1.0223325116175632,C0004,Photographer,Passenger transport manager,Jocelynstad,Full-time,53470,71251,2025-01-25,"Data Analysis,C++,Cloud Computing,Machine Learning",Frazier-Roberts,Colour technologist,Medium,Guyana,Arizona
U00643,J00339,0.0,0,Maxwell Lopez PhD,Male,20,Biology,3.79,South Cynthialand,LLC,"Management,Data Analysis",1.3731083774618953,C0026,Scientific laboratory technician,"Scientist, forensic",Port Miguel,Internship,39573,122428,2025-04-27,"Python,Java,Cloud Computing,AI","Knapp, Martin and Robertson",Industrial/product designer,Medium,Saint Martin,Ohio
U00946,J00110,0.1666666666666666,0,Alexandra Barton,Male,24,Economics,2.29,Alecton,LLC,"Java,C++",-1.2306317193636034,C0087,Hospital doctor,Medical technical officer,Lake Alyssatown,Part-time,61359,142491,2025-07-05,"Design,Management,Java,AI,Communication",Anderson PLC,Community education officer,Large,New Caledonia,Arkansas
U00683,J00353,0.125,0,Morgan Barnett,Female,25,Marketing,3.74,Lake Gailburgh,LLC,"C++,AI,Java,Management,Cloud Computing",1.2863170409010456,C0079,Architect,"Runner, broadcasting/film/video",North Jonathan,Full-time,46004,124363,2025-03-09,"Communication,Java,Machine Learning,Data Analysis",Henry-Matthews,"Engineer, mining",Medium,Bhutan,Montana
U00486,J00384,0.2,0,Steven Kennedy,Female,27,Computer Science,3.39,East Justinshire,LLC,"Cloud Computing,Communication",0.6787776849750958,C0076,Energy manager,"Doctor, hospital",Armstrongtown,Internship,48766,147943,2025-03-20,"C++,Cloud Computing,Machine Learning,AI","Thompson, Green and Rodriguez",Immunologist,Medium,India,Florida
U00253,J00263,0.2857142857142857,0,Tamara Hudson,Female,27,Business,2.73,West Joseph,LLC,"Management,Python,Java,C++",-0.46686795762812383,C0027,"Scientist, water quality",Research scientist (life sciences),South Donnaborough,Internship,68970,136042,2025-04-05,"C++,SQL,Machine Learning,Management,Communication",Watkins-Petersen,Professor Emeritus,Large,Guam,Washington
U00422,J00077,0.2857142857142857,0,Tara Martinez,Female,27,Psychology,3.4,Valenzuelaview,LLC,"Communication,AI,Cloud Computing,Marketing",0.6961359522872654,C0051,"Development worker, community",Insurance account manager,New Timothy,Part-time,53656,89156,2025-02-18,"AI,Management,Python,Communication,Machine Learning",Cain LLC,Social worker,Medium,Dominican Republic,Nevada
U00695,J00338,0.1666666666666666,0,Carl Glenn,Male,21,Economics,2.63,West Jennifermouth,LLC,"Marketing,Cloud Computing,SQL",-0.6404506307498239,C0066,Medical laboratory scientific officer,"Engineer, drilling",Hernandezborough,Part-time,52537,98079,2025-04-17,"Cloud Computing,Design,Management,C++",Graves-Murphy,English as a foreign language teacher,Small,Solomon Islands,Idaho
U00387,J00242,0.0,0,Maria Chapman,Female,22,Engineering,2.11,Christinatown,LLC,"Java,SQL,Marketing,Design",-1.5430805309826634,C0054,Adult nurse,Textile designer,North Kimberlyshire,Internship,46093,128539,2025-06-21,"Python,Machine Learning,Cloud Computing",Cline-Nguyen,Production engineer,Large,Niue,Alaska
U00791,J00206,0.0,0,Derek Alexander,Female,22,Physics,2.1,Nicholasshire,LLC,"Data Analysis,AI,Java",-1.5604387982948331,C0092,Public relations account executive,"Psychologist, sport and exercise",New Lindaburgh,Full-time,48785,142978,2025-02-28,"Design,Marketing",Harris Inc,English as a foreign language teacher,Small,Bulgaria,Rhode Island
U00759,J00438,0.25,0,Thomas Martin,Female,28,Economics,2.1,Erichaven,LLC,"Marketing,Design",-1.5604387982948331,C0006,Chief Technology Officer,Interior and spatial designer,Reynoldston,Full-time,36857,125747,2025-01-08,"Marketing,Management,Java",Wilson-Hanson,"Geologist, engineering",Medium,Tuvalu,New Hampshire
U00728,J00288,0.0,0,Donald Lowe,Female,27,Computer Science,2.2,Parkerstad,LLC,"Python,Design",-1.386856125173133,C0041,Paramedic,Heritage manager,Ginashire,Full-time,41801,114843,2025-01-20,"Data Analysis,Machine Learning","Hobbs, Jones and Hoffman",Biomedical scientist,Large,Svalbard & Jan Mayen Islands,Maine
U00300,J00383,0.25,0,Lindsay Schmidt,Female,20,Computer Science,3.68,Sandersmouth,LLC,"SQL,Machine Learning,Data Analysis",1.1821674370280255,C0047,Consulting civil engineer,Senior tax professional/tax inspector,Williamsmouth,Internship,51383,130891,2025-08-02,"SQL,C++",Gutierrez-Elliott,Photographer,Large,Fiji,Nebraska
U00982,J00317,0.1666666666666666,0,Christina Becker,Female,22,Physics,3.38,New Stacy,LLC,"Data Analysis,AI",0.6614194176629254,C0026,Historic buildings inspector/conservation officer,Pensions consultant,Port Michaelport,Internship,35924,124025,2025-01-22,"Management,Machine Learning,Communication,AI,Design","Knapp, Martin and Robertson",Industrial/product designer,Medium,Saint Martin,Ohio
U00325,J00355,0.0,0,Joseph Knight,Male,23,Engineering,3.53,New Andrewmouth,LLC,"Management,Communication",0.9217934273454751,C0001,Armed forces training and education officer,Health and safety inspector,South Kaylaside,Part-time,50857,89148,2025-05-14,"C++,SQL,Machine Learning,Java,Cloud Computing",Freeman-Johnson,"Pharmacist, hospital",Small,Sierra Leone,North Dakota
U00884,J00452,0.1428571428571428,0,Eric Spears DDS,Male,24,Physics,2.56,New Jackview,LLC,"AI,Communication,Management,Cloud Computing,Data Analysis",-0.7619585019350136,C0034,Contracting civil engineer,Soil scientist,Brownborough,Part-time,69733,94259,2025-05-24,"AI,C++,Marketing",Sharp Inc,Garment/textile technologist,Large,Cameroon,Arkansas
U00027,J00235,0.25,0,Robert Evans,Male,20,Computer Science,3.14,West Jeffreychester,LLC,"C++,Cloud Computing,Java",0.24482100217084604,C0093,Database administrator,"Therapist, occupational",East William,Full-time,52831,138405,2025-04-18,"C++,SQL",Smith-Oliver,Arboriculturist,Small,Kiribati,Maryland
U00455,J00309,0.3333333333333333,0,Ronald Huff,Female,24,Economics,2.46,North Justinfurt,LLC,"AI,Management,Python,Java",-0.9355411750567136,C0060,Building services engineer,Insurance underwriter,New Josephview,Part-time,55819,91684,2025-04-02,"Data Analysis,Communication,Management,AI",Cole-Huber,"Programmer, multimedia",Large,Italy,Alaska
U00997,J00012,0.1428571428571428,0,Daniel Griffin Jr.,Female,26,Business,2.08,Brettborough,LLC,"Management,Cloud Computing,Marketing",-1.595155332919173,C0019,Investment analyst,Minerals surveyor,Jonesfurt,Full-time,64416,138210,2025-02-23,"Design,Cloud Computing,C++,Communication,Java",Rodriguez and Sons,Personal assistant,Large,Tanzania,Florida
U00623,J00424,0.2,0,Tyrone Frazier,Female,23,Business,3.57,West Roymouth,LLC,"Marketing,SQL",0.9912264965941552,C0088,Insurance risk surveyor,Armed forces technical officer,New Dawn,Full-time,59523,102512,2025-07-24,"Management,Marketing,Java,Design",Chase Group,Catering manager,Large,Central African Republic,Minnesota
U00840,J00383,0.0,0,Richard Fuller,Male,30,Business,3.27,West Territon,LLC,"AI,Machine Learning,Management,Python,Communication",0.4704784772290557,C0047,Consulting civil engineer,Senior tax professional/tax inspector,Williamsmouth,Internship,51383,130891,2025-08-02,"SQL,C++",Gutierrez-Elliott,Photographer,Large,Fiji,Nebraska
U00215,J00014,0.2857142857142857,0,Paula Juarez,Female,25,Physics,2.36,East Tylerland,LLC,"SQL,Design,Python,Cloud Computing,AI",-1.1091238481784136,C0034,"Doctor, general practice","Production designer, theatre/television/film",Port Julie,Part-time,33347,82177,2025-02-01,"Management,Marketing,Design,SQL",Sharp Inc,Garment/textile technologist,Large,Cameroon,Arkansas
U00368,J00239,0.4,0,Jeffrey Walker,Male,21,Economics,3.24,West Teresaland,LLC,"C++,Communication,Java,Design",0.4184036752925461,C0014,"Engineer, control and instrumentation",Armed forces operational officer,Steeleview,Full-time,42152,95252,2025-04-09,"SQL,C++,Design",Tyler Ltd,Information systems manager,Medium,Lithuania,Wyoming
U00608,J00439,0.0,0,Johnny Lawson,Female,25,Physics,3.72,North Timothy,LLC,"Management,Communication,Marketing,Python",1.2516005062767057,C0017,Chartered public finance accountant,"Psychologist, counselling",Combsside,Internship,63151,141807,2025-04-12,"Java,AI",Silva LLC,"Scientist, water quality",Medium,Saudi Arabia,Oregon
U00036,J00175,0.1666666666666666,0,Adam Morgan,Female,23,Psychology,3.17,Thomasside,LLC,"C++,Marketing",0.29689580410735567,C0057,Sales executive,"Scientist, clinical (histocompatibility and immunogenetics)",Bryantburgh,Part-time,58495,86488,2025-03-15,"AI,Python,Cloud Computing,C++,Management",Dalton-Mack,Operations geologist,Medium,Tokelau,New Jersey
U00193,J00321,0.1111111111111111,0,Bradley Jacobs,Female,21,Physics,2.85,Jerrystad,LLC,"Machine Learning,Data Analysis,Management,SQL,AI",-0.2585687498820838,C0034,Biomedical scientist,Camera operator,Brittanystad,Internship,37580,81433,2025-04-21,"C++,Machine Learning,Cloud Computing,Java,Python",Sharp Inc,Garment/textile technologist,Large,Cameroon,Arkansas
U00833,J00391,0.3333333333333333,0,Shawn Williams,Male,28,Psychology,3.9,Brentport,LLC,"Marketing,Data Analysis,Python",1.564049317895765,C0058,"Editor, magazine features",Diplomatic Services operational officer,West Alexandria,Full-time,49206,101195,2025-01-26,"Data Analysis,Python,Cloud Computing,C++,SQL",Knight LLC,Mining engineer,Small,Belize,Rhode Island
U00401,J00113,0.25,0,Dana Allen,Male,27,Physics,3.05,Port Michael,LLC,"Management,Data Analysis",0.08859659636131559,C0012,Broadcast engineer,Tourist information centre manager,Danielberg,Internship,33483,91005,2025-04-13,"Machine Learning,Communication,Data Analysis","Jackson, Robinson and Jacobs","Designer, multimedia",Small,Chile,Maryland
U00756,J00401,0.125,0,Tonya Larson,Female,22,Marketing,3.34,Hayesbury,LLC,"Machine Learning,Management,SQL,Cloud Computing",0.5919863484142454,C0038,Transport planner,Speech and language therapist,West Tim,Part-time,60033,141071,2025-04-25,"Marketing,Machine Learning,Design,AI,Java","Lewis, Johnson and Miller",Quality manager,Large,Western Sahara,New Hampshire
U00956,J00190,0.1428571428571428,0,Casey Davies,Female,28,Marketing,2.5,Osborneview,LLC,"Marketing,Python,Java",-0.8661081058080335,C0011,Games developer,"Designer, television/film set",Port Steven,Full-time,42459,107218,2025-08-05,"SQL,Machine Learning,C++,Data Analysis,Python",Giles-Benton,IT consultant,Small,Zambia,New York
U00791,J00309,0.4,0,Derek Alexander,Female,22,Physics,2.1,Nicholasshire,LLC,"Data Analysis,AI,Java",-1.5604387982948331,C0060,Building services engineer,Insurance underwriter,New Josephview,Part-time,55819,91684,2025-04-02,"Data Analysis,Communication,Management,AI",Cole-Huber,"Programmer, multimedia",Large,Italy,Alaska
