user_id,job_id,match_score,recommended,name,sex,age,major,GPA,location_x,university,skills,GPA_normalized,company_id,title,role,location_y,work_type,salary_min,salary_max,posting_date,skills_required,company_name,industry,company_size,country,state
U00644,J00477,0.0,0,Jessica Rodriguez,Male,28,Marketing,3.47,Port Derrickland,PLC,"Python,SQL,Machine Learning,Communication,C++",0.8176438234724559,C0087,Financial controller,Civil Service administrator,West Charleschester,Part-time,44688,103661,2025-03-19,"Management,Data Analysis",Anderson PLC,Community education officer,Large,New Caledonia,Arkansas
U00033,J00010,0.0,0,Edward Austin,Female,25,Marketing,2.22,Johnsonchester,PLC,"C++,SQL",-1.352139590548793,C0005,Psychotherapist,"Social research officer, government",Wayneburgh,Internship,69933,98127,2025-06-05,"Cloud Computing,Design,Python","Payne, Davis and Barnett","Loss adjuster, chartered",Small,American Samoa,Hawaii
U00631,J00433,0.0,0,Allison Holmes,Male,22,Marketing,2.78,Blackview,PLC,"Machine Learning,Data Analysis,Marketing",-0.3800766210672742,C0051,Regulatory affairs officer,"Doctor, general practice",Molinachester,Full-time,52346,129838,2025-01-03,"Management,Python,Communication,SQL",Cain LLC,Social worker,Medium,Dominican Republic,Nevada
U00662,J00164,0.1666666666666666,0,Randall Roberson,Female,27,Engineering,2.39,Port Frank,PLC,"Design,Data Analysis,Python,SQL,AI",-1.0570490462419033,C0042,"Engineer, manufacturing",Race relations officer,Marshallhaven,Part-time,55913,88994,2025-04-13,"Cloud Computing,SQL",Ryan Inc,Furniture conservator/restorer,Medium,Korea,Utah
U00630,J00497,0.0,0,Maria Colon,Female,20,Psychology,2.58,North Ashlee,PLC,"Management,Communication,Data Analysis",-0.7272419673106736,C0086,Advice worker,"Journalist, broadcasting",East Kellyfurt,Part-time,47301,86865,2025-01-05,"Machine Learning,Python,AI,Cloud Computing","Garcia, Solis and Colon",Network engineer,Small,Netherlands,Arizona
U00169,J00342,0.1666666666666666,0,Felicia Gonzalez,Female,30,Marketing,2.68,South Nicole,PLC,"Management,Java",-0.5536592941889735,C0076,"Embryologist, clinical",Control and instrumentation engineer,Bradleyville,Part-time,58622,125975,2025-01-28,"Design,Python,SQL,Management,Marketing","Thompson, Green and Rodriguez",Immunologist,Medium,India,Florida
U00343,J00330,0.1428571428571428,0,Benjamin Pope,Female,27,Marketing,2.12,New Melissaton,PLC,"Machine Learning,Management,Data Analysis,Marketing,Design",-1.525722263670493,C0034,"Education officer, environmental",Cabin crew,Lake Chad,Full-time,55151,102231,2025-04-26,"Communication,Machine Learning,Python",Sharp Inc,Garment/textile technologist,Large,Cameroon,Arkansas
U00389,J00159,0.6666666666666666,1,Kimberly Young,Male,22,Engineering,2.9,Lake Brianmouth,PLC,"Management,Communication,Java,C++,Marketing",-0.1717774133212341,C0012,Ranger/warden,"Librarian, academic",West Donna,Internship,58478,117696,2025-02-28,"C++,Communication,Management,Marketing,Python","Jackson, Robinson and Jacobs","Designer, multimedia",Small,Chile,Maryland
U00194,J00499,0.1428571428571428,0,Kevin Roberts,Male,28,Marketing,2.96,Lake Breannabury,PLC,"Java,Marketing,Design",-0.06762780944821409,C0022,Event organiser,Occupational therapist,Lake Heatherborough,Part-time,31013,96574,2025-06-01,"Python,Marketing,Data Analysis,AI,Communication",Williams-Marsh,"Engineer, manufacturing",Medium,Romania,Iowa
U00046,J00310,0.1666666666666666,0,Mrs. Sherry Carpenter,Female,26,Economics,3.4,Colleenberg,PLC,"Management,Python",0.6961359522872654,C0058,Purchasing manager,Personnel officer,Taylorbury,Full-time,38449,141965,2025-07-15,"AI,C++,Marketing,Cloud Computing,Management",Knight LLC,Mining engineer,Small,Belize,Rhode Island
